	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
1003	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Arts, entertainment, and recreation	2001	
1004	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	   Accommodation and food services	2001	
1005	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	  Other services (except government and government enterprises)	2001	4579.0
1006	37103	FIPS_37103	Jones County	Southeast	Eastern Carolina	Government and government enterprises	2001	23066.0
1007	37105	FIPS_37105	Lee County	North Central	Triangle South	  Agriculture, forestry, fishing and hunting	2001	19184.0
1008	37105	FIPS_37105	Lee County	North Central	Triangle South	  Mining, quarrying, and oil and gas extraction	2001	8873.0
1009	37105	FIPS_37105	Lee County	North Central	Triangle South	  Utilities	2001	17052.0
1010	37105	FIPS_37105	Lee County	North Central	Triangle South	  Construction	2001	97151.0
1011	37105	FIPS_37105	Lee County	North Central	Triangle South	  Manufacturing	2001	987546.0
1012	37105	FIPS_37105	Lee County	North Central	Triangle South	  Wholesale trade	2001	106635.0
1013	37105	FIPS_37105	Lee County	North Central	Triangle South	  Retail trade	2001	126693.0
1014	37105	FIPS_37105	Lee County	North Central	Triangle South	  Transportation and warehousing	2001	17999.0
1015	37105	FIPS_37105	Lee County	North Central	Triangle South	  Information	2001	15624.0
1016	37105	FIPS_37105	Lee County	North Central	Triangle South	   Real estate and rental and leasing	2001	127550.0
1017	37105	FIPS_37105	Lee County	North Central	Triangle South	  Professional and business services	2001	87567.0
1018	37105	FIPS_37105	Lee County	North Central	Triangle South	   Management of companies and enterprises	2001	
1019	37105	FIPS_37105	Lee County	North Central	Triangle South	   Administrative and support and waste management and remediation services	2001	30981.0
1020	37105	FIPS_37105	Lee County	North Central	Triangle South	   Educational services	2001	3369.0
1021	37105	FIPS_37105	Lee County	North Central	Triangle South	   Health care and social assistance	2001	95831.0
1022	37105	FIPS_37105	Lee County	North Central	Triangle South	   Arts, entertainment, and recreation	2001	7453.0
1023	37105	FIPS_37105	Lee County	North Central	Triangle South	   Accommodation and food services	2001	28714.0
1024	37105	FIPS_37105	Lee County	North Central	Triangle South	  Other services (except government and government enterprises)	2001	35231.0
1025	37105	FIPS_37105	Lee County	North Central	Triangle South	Government and government enterprises	2001	143351.0
1026	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Agriculture, forestry, fishing and hunting	2001	28539.0
1027	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Mining, quarrying, and oil and gas extraction	2001	97.0
1028	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Utilities	2001	3425.0
1029	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Construction	2001	90173.0
1030	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Manufacturing	2001	565730.0
1031	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Wholesale trade	2001	75713.0
1032	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Retail trade	2001	126127.0
1033	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Transportation and warehousing	2001	41810.0
1034	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Information	2001	14954.0
1035	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Real estate and rental and leasing	2001	159306.0
1036	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Professional and business services	2001	107680.0
1037	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Management of companies and enterprises	2001	25776.0
1038	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Administrative and support and waste management and remediation services	2001	33831.0
1039	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Educational services	2001	4773.0
1040	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Health care and social assistance	2001	112518.0
1041	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Arts, entertainment, and recreation	2001	5539.0
1042	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	   Accommodation and food services	2001	31073.0
1043	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	  Other services (except government and government enterprises)	2001	53743.0
1044	37107	FIPS_37107	Lenoir County	Southeast	Eastern Carolina	Government and government enterprises	2001	309635.0
1045	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Agriculture, forestry, fishing and hunting	2001	9068.0
1046	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Mining, quarrying, and oil and gas extraction	2001	5317.0
1047	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Utilities	2001	15262.0
1048	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Construction	2001	82907.0
1049	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Manufacturing	2001	370067.0
1050	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Wholesale trade	2001	43461.0
1051	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Retail trade	2001	90651.0
1052	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Transportation and warehousing	2001	31048.0
