,County	Collections
879,McDowell	1406299.0
880,McDowell	1633904.0
881,McDowell	1533798.0
882,McDowell	1478314.0
883,McDowell	1744289.0
884,McDowell	1793440.0
885,Mecklenburg	97747091.0
886,Mecklenburg	85092961.0
887,Mecklenburg	106250954.0
888,Mecklenburg	97291200.0
889,Mecklenburg	96054441.0
890,Mecklenburg	97181210.0
891,Mecklenburg	98050222.0
892,Mecklenburg	98233506.0
893,Mecklenburg	91191685.0
894,Mecklenburg	83866981.0
895,Mecklenburg	101350491.0
896,Mecklenburg	97956687.0
897,Mecklenburg	93445565.0
898,Mecklenburg	101752359.0
899,Mecklenburg	94633075.0
900,Mitchell	538849.0
901,Mitchell	634661.0
902,Mitchell	635871.0
903,Mitchell	587226.0
904,Mitchell	630250.0
905,Mitchell	586722.0
906,Mitchell	595595.0
907,Mitchell	558624.0
908,Mitchell	565159.0
909,Mitchell	477055.0
910,Mitchell	628760.0
911,Mitchell	644055.0
912,Mitchell	602864.0
913,Mitchell	627251.0
914,Mitchell	675604.0
915,Montgomery	925511.0
916,Montgomery	846112.0
917,Montgomery	737719.0
918,Montgomery	878992.0
919,Montgomery	880515.0
920,Montgomery	731765.0
921,Montgomery	947008.0
922,Montgomery	966067.0
923,Montgomery	852188.0
924,Montgomery	968676.0
925,Montgomery	837058.0
926,Montgomery	794988.0
927,Montgomery	895216.0
928,Montgomery	914491.0
929,Montgomery	869603.0
930,Moore	5023869.0
931,Moore	6280923.0
932,Moore	5899379.0
933,Moore	6325696.0
934,Moore	6058160.0
935,Moore	5363535.0
936,Moore	6245815.0
937,Moore	4707769.0
938,Moore	6328107.0
939,Moore	6076008.0
940,Moore	5806413.0
941,Moore	4740288.0
942,Moore	5795717.0
943,Moore	5660785.0
944,Moore	6146934.0
945,Nash	4405217.0
946,Nash	4648136.0
947,Nash	3948575.0
948,Nash	4697303.0
949,Nash	4438526.0
950,Nash	4186792.0
951,Nash	4366865.0
952,Nash	4454512.0
953,Nash	4338698.0
954,Nash	4264890.0
955,Nash	4953206.0
956,Nash	4482613.0
957,Nash	4331766.0
958,Nash	5061083.0
959,Nash	4657177.0
960,New Hanover	19582064.0
961,New Hanover	21553390.0
962,New Hanover	20567564.0
963,New Hanover	19944469.0
964,New Hanover	22033187.0
965,New Hanover	22399517.0
966,New Hanover	21004487.0
967,New Hanover	17953737.0
968,New Hanover	22124147.0
969,New Hanover	15972273.0
970,New Hanover	18515303.0
971,New Hanover	21814955.0
972,New Hanover	20679062.0
973,New Hanover	22873642.0
974,New Hanover	22866925.0
975,Northampton	446119.0
976,Northampton	906026.0
977,Northampton	401692.0
978,Northampton	413356.0
979,Northampton	444235.0
980,Northampton	419821.0
981,Northampton	400710.0
982,Northampton	443452.0
983,Northampton	458277.0
984,Northampton	420391.0
985,Northampton	442331.0
986,Northampton	427009.0
987,Northampton	388683.0
988,Northampton	440203.0
989,Northampton	411320.0
990,Onslow	9787655.0
991,Onslow	9175397.0
992,Onslow	9524524.0
993,Onslow	10460432.0
994,Onslow	10113692.0
995,Onslow	9221846.0
996,Onslow	10668337.0
997,Onslow	9958256.0
998,Onslow	7750147.0
999,Onslow	8774329.0
1000,Onslow	10087775.0
1001,Onslow	9974686.0
1002,Onslow	10172586.0
1003,Onslow	8849545.0
1004,Onslow	10571143.0
1005,Orange	6957714.0
1006,Orange	8000641.0
1007,Orange	6907946.0
1008,Orange	7953442.0
1009,Orange	7995325.0
1010,Orange	7906622.0
1011,Orange	8052959.0
1012,Orange	7851282.0
1013,Orange	9507665.0
1014,Orange	8376776.0
1015,Orange	7460431.0
1016,Orange	7919414.0
1017,Orange	7367589.0
1018,Orange	8268899.0
1019,Orange	7454319.0
1020,Pamlico	473460.0
1021,Pamlico	399086.0
1022,Pamlico	476964.0
1023,Pamlico	439666.0
1024,Pamlico	452240.0
1025,Pamlico	404483.0
1026,Pamlico	378938.0
1027,Pamlico	396182.0
1028,Pamlico	352836.0
1029,Pamlico	381592.0
1030,Pamlico	382244.0
1031,Pamlico	424037.0
1032,Pamlico	448133.0
1033,Pamlico	359303.0
1034,Pamlico	445340.0
1035,Pasquotank	2171181.0
1036,Pasquotank	2096762.0
1037,Pasquotank	2315291.0
1038,Pasquotank	2119267.0
1039,Pasquotank	2246449.0
1040,Pasquotank	2202068.0
1041,Pasquotank	2026087.0
